epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,4798.87,0.79197,0.59819,1.0684,0.94466,0.87909,0.93317,0.78736,0.65256,0.43852,0.93557,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,4853.53,0.78749,0.59904,1.06819,0.95022,0.87512,0.93152,0.78296,0.66229,0.43998,0.9408,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,4908.3,0.79493,0.59642,1.06924,0.94394,0.88277,0.9361,0.79082,0.64693,0.42195,0.93587,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,4963.13,0.78745,0.5925,1.06714,0.94574,0.89824,0.93885,0.78912,0.65464,0.42211,0.9399,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5017.84,0.78408,0.59947,1.06061,0.94157,0.90238,0.94234,0.79342,0.65309,0.42442,0.93761,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5072.72,0.78827,0.59549,1.05904,0.95254,0.8839,0.93911,0.7918,0.64213,0.42666,0.92605,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,5127.72,0.7695,0.59549,1.05919,0.9417,0.88583,0.9365,0.796,0.63578,0.42227,0.92717,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,5182.24,0.78009,0.59633,1.06094,0.95013,0.88367,0.93571,0.78947,0.63751,0.42299,0.92759,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,5236.9,0.77365,0.58251,1.05565,0.92378,0.89083,0.92952,0.79262,0.62792,0.42878,0.91941,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,5291.6,0.77418,0.5809,1.05593,0.96025,0.87211,0.93828,0.80171,0.61415,0.4096,0.91067,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,5346.28,0.77025,0.58318,1.04858,0.93573,0.88546,0.93703,0.80255,0.60873,0.40045,0.90982,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,5400.77,0.7621,0.57333,1.04715,0.94689,0.8801,0.93671,0.79793,0.61294,0.4108,0.91457,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5455.33,0.76216,0.57146,1.05071,0.96525,0.8849,0.93876,0.79998,0.61142,0.3981,0.9131,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,5510.24,0.75124,0.5576,1.04826,0.96452,0.8709,0.93043,0.79923,0.61068,0.40981,0.91263,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,5564.73,0.76299,0.56806,1.05696,0.96252,0.87336,0.93891,0.80425,0.61265,0.41605,0.91949,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,5619.12,0.74448,0.55822,1.04872,0.95378,0.88555,0.94138,0.80671,0.60954,0.40725,0.91547,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,5673.73,0.74627,0.5583,1.04141,0.95839,0.88363,0.94367,0.80856,0.59997,0.40125,0.90571,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,5728.64,0.75418,0.56319,1.04396,0.93312,0.8923,0.94006,0.80227,0.60812,0.40933,0.91362,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,5783.42,0.74643,0.56643,1.04112,0.95273,0.89595,0.94694,0.80857,0.61003,0.39077,0.90971,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,5838.02,0.74594,0.55237,1.0399,0.96161,0.88586,0.94325,0.80555,0.60521,0.4025,0.90982,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,5892.66,0.73587,0.5541,1.03632,0.95302,0.88371,0.9406,0.80458,0.61117,0.40599,0.91305,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,5947.11,0.74445,0.56004,1.03635,0.96016,0.88379,0.94348,0.81408,0.59897,0.39408,0.9046,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,6001.56,0.73992,0.55211,1.0386,0.94361,0.90977,0.94538,0.8176,0.59282,0.3865,0.90181,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,6056.07,0.73826,0.54805,1.03702,0.95011,0.89617,0.9481,0.82239,0.58279,0.38544,0.8981,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,6110.75,0.73097,0.54148,1.02867,0.95526,0.8997,0.93818,0.80598,0.5955,0.3978,0.90131,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,6165.43,0.72882,0.54082,1.02828,0.95627,0.89722,0.94149,0.81256,0.59331,0.39506,0.90466,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,6220.23,0.7297,0.53957,1.03826,0.9573,0.89578,0.94636,0.8149,0.58468,0.38615,0.8999,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,6274.8,0.72606,0.54234,1.02831,0.95422,0.89528,0.93906,0.81178,0.5799,0.39068,0.89593,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
